Title,As of,Rank,Year to Date Rank,Last Week Rank,Type,Netflix Exclusive,Netflix Release Date,Days_Top_10,Viewership Score
Friends with Benefits,4/8/21,10,6,-,Movie,,1-Apr-21,7,38
Legacies,4/14/20,10,-,10,TV Show,,5-Apr-19,7,15
Hillbilly Elegy,12/1/20,7,6,-,Movie,Yes,24-Nov-20,7,52
High Score,8/26/20,10,9,-,TV Show,Yes,19-Aug-20,7,27
Hellbound,11/26/21,8,8,-,TV Show,Yes,19-Nov-21,7,40
"Bob Ross: Happy Accidents, …",9/1/21,10,8,-,Movie,Yes,25-Aug-21,7,27
Chefâs Table: BBQ,9/9/20,9,6,-,TV Show,Yes,2-Sep-20,7,27
Green Lantern,9/8/21,10,9,-,Movie,,1-Sep-21,7,33
Da 5 Bloods,6/19/20,7,4,-,Movie,Yes,12-Jun-20,7,55
Arcane,11/24/21,10,6,-,TV Show,Yes,6-Nov-21,7,27
Dash & Lily,11/17/20,10,10,-,TV Show,Yes,10-Nov-20,7,39
Intrusion,9/30/21,6,9,-,Movie,Yes,22-Sep-21,7,37
Disenchantment,2/11/22,9,9,-,TV Show,Yes,17-Aug-18,7,20
Fear Street Part 2: 1978,7/16/21,10,8,-,Movie,Yes,9-Jul-21,7,34
Lost Bullet,6/26/20,9,7,-,Movie,Yes,19-Jun-20,7,33
Life,12/8/21,9,9,-,Movie,,1-Dec-21,7,23
Beckett,8/20/21,5,4,-,Movie,Yes,13-Aug-21,7,57
Blood Father,4/3/20,10,6,-,Movie,,26-Mar-20,7,36
F is for Family,6/19/20,8,8,-,TV Show,Yes,18-Dec-15,7,31
Million Dollar Beach House,9/2/20,8,4,-,TV Show,Yes,26-Aug-20,7,46
17 Again,1/8/21,8,5,-,Movie,,1-Jan-21,7,33
An Unfinished Life,9/19/21,10,9,-,Movie,,1-Sep-21,7,15
A Castle for Christmas,12/3/21,10,10,-,Movie,Yes,26-Nov-21,7,30
Aftermath,8/12/21,8,8,-,Movie,Yes,4-Aug-21,7,31
Age of Samurai: Battle for …,3/3/21,7,6,-,TV Show,Yes,24-Feb-21,7,36
The Epic Tales of Captain U…,7/16/20,10,9,-,TV Show,Yes,10-Jul-20,6,24
Sleepless,5/14/20,8,4,-,Movie,,9-May-20,6,37
Indian Matchmaking,7/25/20,10,8,-,TV Show,Yes,16-Jul-20,6,13
The Help,6/8/20,9,9,-,Movie,,1-Jun-20,6,21
The Frozen Ground,9/4/20,9,6,-,Movie,,27-Aug-20,6,37
St. Vincent,2/23/22,10,10,10,Movie,,10-Aug-16,6,11
I Am All Girls,5/20/21,9,6,-,Movie,Yes,14-May-21,6,19
The Babysitter: Killer Queen,9/16/20,6,6,-,Movie,Yes,10-Sep-20,6,43
Texas Chainsaw Massacre,2/24/22,10,4,-,Movie,Yes,18-Feb-22,6,39
Green Zone,5/7/21,9,6,-,Movie,,1-May-21,6,27
The DUFF,10/8/21,10,10,-,Movie,,1-Oct-21,6,21
Gunpowder Milkshake,7/20/21,9,5,-,Movie,Yes,14-Jul-21,6,39
The Colony,1/17/22,8,7,-,Movie,,11-Jan-22,6,31
Survivor,11/24/20,9,9,-,TV Show,,15-Nov-20,6,16
Hard Kill,11/30/20,8,9,-,Movie,,23-Nov-20,6,31
Hype House,1/13/22,9,6,-,TV Show,Yes,7-Jan-22,6,32
The Kissing Booth,7/30/20,8,8,-,Movie,Yes,11-May-20,6,21
How to Fix a Drug Scandal,4/7/20,9,7,-,TV Show,Yes,1-Apr-20,6,29
Hypnotic,11/2/21,10,5,-,Movie,Yes,27-Oct-21,6,29
The Lovebirds,5/28/20,10,8,-,Movie,Yes,22-May-20,6,35
Easy A,11/10/20,8,8,-,Movie,,1-Nov-20,6,21
The Weekend Away,3/9/22,9,7,-,Movie,Yes,3-Mar-22,6,28
(Un)Well,8/19/20,7,7,-,TV Show,Yes,12-Aug-20,6,24
A California Christmas: Cit…,12/22/21,9,6,-,Movie,Yes,16-Dec-21,6,39
Wizards: Tales of Arcadia,8/13/20,9,8,-,TV Show,Yes,7-Aug-20,6,24
Alexa & Katie,6/19/20,10,6,-,TV Show,Yes,23-Mar-18,6,34
All About the Benjamins,2/10/21,10,9,-,Movie,,1-Feb-21,6,30
All Day and a Night,5/7/20,10,7,-,Movie,Yes,1-May-20,6,27
Unorthodox,4/5/20,10,9,-,TV Show,Yes,26-Mar-20,6,15
Triple 9,12/14/20,10,5,-,Movie,,8-Dec-20,6,29
Trial by Media,5/18/20,10,9,-,TV Show,Yes,11-May-20,6,22
Trial 4,11/17/20,8,5,-,TV Show,Yes,11-Nov-20,6,38
Below Zero,2/4/21,6,2,-,Movie,Yes,29-Jan-21,6,54
Blood of Zeus,11/2/20,9,9,-,TV Show,Yes,27-Oct-20,6,33
The Kominsky Method,6/3/21,10,9,-,TV Show,Yes,16-Nov-18,6,18
Britney vs Spears,10/4/21,8,7,-,Movie,Yes,28-Sep-21,6,38
The Sleepover,8/27/20,10,7,-,Movie,Yes,21-Aug-20,6,29
Colin in Black & White,11/5/21,5,6,-,TV Show,Yes,29-Oct-21,6,25
Country Comfort,3/27/21,10,6,-,TV Show,Yes,19-Mar-21,6,23
Crazy Delicious,7/2/20,8,6,-,TV Show,Yes,24-Jun-20,6,23
The Princess Switch: Switch…,11/25/20,9,4,-,Movie,Yes,19-Nov-20,6,42
Crime Scene: The Times Squa…,1/4/22,9,9,-,TV Show,Yes,29-Dec-21,6,23
The Outpost,10/7/20,9,7,-,Movie,,1-Oct-20,6,34
The Lost Pirate Kingdom,3/21/21,7,7,-,TV Show,Yes,15-Mar-21,6,37
Dead Man Down,5/14/21,10,9,-,Movie,,6-Nov-13,6,22
The Last Days of American C…,6/11/20,10,7,-,Movie,Yes,5-Jun-20,6,31
Inside Job,10/29/21,7,5,-,TV Show,Yes,22-Oct-21,6,34
My Name,10/22/21,8,6,-,TV Show,Yes,15-Oct-21,6,24
#Alive,9/14/20,8,6,-,Movie,Yes,8-Sep-20,6,34
Jurassic Park,8/10/20,9,9,-,Movie,,1-Aug-20,6,20
Legally Blonde,4/12/21,8,9,-,Movie,Yes,1-Apr-21,6,13
Resort to Love,8/4/21,9,5,-,Movie,Yes,29-Jul-21,6,37
Night Teeth,10/26/21,10,7,-,Movie,Yes,20-Oct-21,6,24
Love Happens,5/7/21,10,5,-,Movie,,1-May-21,6,29
Moneyball,10/20/20,7,5,-,Movie,,14-Oct-20,6,35
Rogue City,11/5/20,9,4,-,Movie,Yes,30-Oct-20,6,35
"Love, Death & Robots",5/21/21,10,10,-,TV Show,Yes,15-Mar-19,6,24
Public Enemies,5/22/20,10,10,-,Movie,,16-May-20,6,19
Last Chance U,8/3/20,9,6,-,TV Show,Yes,29-Jul-16,6,30
Monsters vs. Aliens,6/10/21,9,9,-,Movie,,1-Jun-21,6,10
PokÃ©mon Journeys: The Series,6/18/20,9,8,-,TV Show,Yes,12-Jun-20,6,23
King Arthur: Legend of the …,11/1/21,8,7,-,Movie,,25-Oct-21,6,20
School of Chocolate,12/3/21,9,8,-,TV Show,Yes,26-Nov-21,6,18
Marriage or Mortgage,3/17/21,9,8,-,TV Show,Yes,10-Mar-21,6,25
Rebecca,10/27/20,9,7,-,Movie,Yes,21-Oct-20,6,33
Murder to Mercy: The Cyntoi…,5/5/20,10,8,-,Movie,Yes,29-Apr-20,6,25
Jungle Beat: The Movie,5/21/21,9,8,-,Movie,,14-May-21,6,17
Journey 2: The Mysterious I…,1/7/22,9,8,-,Movie,,1-Jan-22,6,22
Tribes of Europa,2/24/21,9,8,-,TV Show,Yes,19-Feb-21,5,14
George Lopez: Weâll Do It f…,7/5/20,9,8,-,Stand-Up Comedy,Yes,30-Jun-20,5,24
The Roommate,4/6/20,9,8,-,Movie,,1-Apr-20,5,18
Red Dot,2/16/21,8,7,-,Movie,Yes,11-Feb-21,5,16
The Prom,12/16/20,10,6,-,Movie,Yes,11-Dec-20,5,30
Prey,9/16/21,8,5,-,Movie,Yes,10-Sep-21,5,25
Marauders,12/8/20,5,5,-,Movie,,2-Dec-20,5,32
Have a Good Trip: Adventure…,5/17/20,10,10,-,Movie,Yes,11-May-20,5,15
The Princess Switch 3: Roma…,11/22/21,8,7,-,Movie,Yes,18-Nov-21,5,27
Monsters Inside: The 24 Fac…,9/28/21,9,8,-,TV Show,Yes,22-Sep-21,5,17
Welcome to Sudden Death,10/5/20,9,7,-,Movie,,29-Sep-20,5,20
Big Time Rush,4/2/21,8,6,-,TV Show,,26-Mar-21,5,19
Halston,5/19/21,10,6,-,TV Show,Yes,14-May-21,5,18
Love Wedding Repeat,4/15/20,8,6,-,Movie,Yes,10-Apr-20,5,27
Thereâs Someone Inside Your…,10/11/21,6,6,-,Movie,Yes,6-Oct-21,5,26
Cuties,9/16/20,7,7,-,Movie,Yes,9-Sep-20,5,18
Moesha,8/6/20,10,8,-,TV Show,,1-Aug-20,5,16
Becoming,5/11/20,6,5,-,Movie,Yes,6-May-20,5,31
Greyâs Anatomy,5/16/20,8,7,-,TV Show,,15-Sep-14,5,21
The Forgotten Battle,10/20/21,7,6,-,Movie,Yes,15-Oct-21,5,23
