,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
9508,s9509,TV Show,Go Buster - Classic Nursery Rhymes & Songs (Made by Little Baby Bum),,,,"October 7, 2021",2021,ALL,5 Seasons,Kids,"Go Buster is an animated online educational kids series watched all over the globe. Brought to you by the creators of Little Baby Bum, Go Buster encourages learning, creativity, and fun! Learn colors, shapes, and numbers with our well-loved characters! In this season, enjoy some original kids' songs such as Where's Buster?, Wash Your Hands, and special guest characters such as Cozy Coupe & more!"
9509,s9510,Movie,Gaddappana Duniya (Hindi),Sunil Reddy,Chennagowda,,,2018,ALL,92 min,"Comedy, Drama",The story of the plight of farmers in rural villages who fall into debt traps and how one man tries to prevent them from doing so.
9511,s9512,TV Show,Cocomelon American Sign Language - Cartoons for Kids,,,,"October 7, 2021",2019,ALL,3 Seasons,Kids,"Watching good quality kids' shows can be a great support in a child's development. It is a way to explore emotions in a safe space, learn about relating to other people and about basic concepts such as vocabulary and counting. This is why we are making our hugely popular kids show 'CoComelon' available to all kids in ASL."
9512,s9513,Movie,Bandivan Mi Yhya Sansari,Arun Karnataki,"Asha Kale, Nilu Phule, Avinash Kharshikar, Nana Palshikar, Madhu Apte",,,1988,ALL,123 min,Drama,"Bandivan Mi Ya Sansari narrates a tragic story of everywoman for whom each day has become a struggle for survival. From her early childhood, Kamal's life is full of sorrow. As a young woman, Kamal contemplates a marriage with her best friend Keshav, but fate has other plans. Emotionally gripping, the film tells a touching story of love, sacrifice and hope."
9514,s9515,Movie,We Bought A Zoo: World Premiere,Cameron Crowe,,,,2011,PG,5 min,Drama,"We Bought a Zoo is now available for download! Join Tava Smiley on the red carpet with the cast and crew of We Bought a Zoo featuring Matt Damon, Scarlett Johansson, Director Cameron Crowe and more!"
9515,s9516,Movie,We Bought A Zoo: In Character with Scarlett Johansson,Cameron Crowe,,,,2011,PG,5 min,Drama,"We Bought a Zoo is now available for download! Go behind the scenes with Scarlett Johansson as she reveals what it took to ""get into character"" for her role in We Bought a Zoo."
9516,s9517,Movie,We Bought A Zoo: In Character with Matt Damon and Scarlett Johansson,Cameron Crowe,,,,2011,PG,5 min,Drama,"We Bought a Zoo is now available for download! Go behind the scenes with Matt Damon as he reveals what it took to ""get into character"" for his role in We Bought a Zoo."
9517,s9518,Movie,We Bought A Zoo: Direct Effect: Cameron Crowe,Cameron Crowe,,,,2011,PG,5 min,Drama,We Bought a Zoo is now available for download! Director Cameron Crowe lets you in on the production process. Find out what it took to make We Bought a Zoo a success.
9519,s9520,Movie,Tomorrow Never Dies (4K UHD),Roger Spottiswoode,"Pierce Brosnan, Jonathan Pryce, Michelle Yeoh",,,1997,PG-13,119 min,"Action, Adventure, Suspense",James Bond starts another chapter in the longest-running movie series in history. The threat of World War III looms as media mogul Elliot Carver pits China and Britain against each other to complete his global communications empire.
9520,s9521,Movie,Tomorrow Never Dies,Roger Spottiswoode,"Pierce Brosnan (James Bond), Jonathan Pryce (Elliot Carver), Michelle Yeoh (Wai Lin), Teri Hatcher (Paris Carver), Joe Don Baker (Wade), Ricky Jay (Henry Gupta), Gotz Otto (Stamper), Judi Dench (M), Desmond Llewelyn (Q), Vincent Schiavelli (Dr. Kaufman), Geoffrey Palmer (Admiral Roebuck), Colin Salmon (Robinson), Samantha Bond (Moneypenny), Julian Fellowes (Minister of Defense), Terence Rigby (General Bukharin), Cecilie Thomsen (Professor Inga Bergstrom), Nina Young (Tamara Steel), Daphne Deckers (PR Lady), Colin Stinton (Dr. Dave Greenwalt), Al Matthews (Master Sergeant 3), Mark Spalding (Stealth Boat Captain), Bruce Alexander (HMS Chester Captain), Anthony Green (HMS Chester Firing Officer), Christopher Bowen (Commander Richard Day), Andrew Hawkins (Lieutenant Commander Peter Hume), Dominic Shaun (HMS Devonshire Lieutenant Commander), Julian Rhind-tutt (HMS Devonshire Yeoman), Gerard Butler (HMS Devonshire Leading Seaman), Adam Barker (HMS Devonshire Sonar), Michael Byrne (Admiral Kelly), Pip Torrens (HMS Bedford Captain), Hugh Bonnevill",,,1997,PG-13,119 min,"Action, Suspense",The Carver Media Group Network seems to know the news even before it happens. It's up to James Bond to find out how and why.
9521,s9522,Movie,The World is Not Enough (4K UHD),Michael Apted,"Pierce Brosnan, Sophie Marceau, Robert Carlyle",,,1999,PG-13,128 min,"Action, Adventure","In the 19th film of the franchise, James Bond (Pierce Brosnan) is once again pitted against Valentin Zukovsky (Robbie Coltrane), the Russian mobster from Goldeneye. Judi Dench returns as M and Desmond Llewelyn returns as Q."
9522,s9523,Movie,The World Is Not Enough,Michael Apted,"Pierce Brosnan (James Bond), Sophie Marceau (Elektra King), Robert Carlyle (Renard), Denise Richards (Christmas Jones), Judi Dench (M), Michael Kitchen (Tanner), John Cleese (R), Desmond Llewelyn (Q), Robbie Coltrane (Valentin Zukovsky), Samantha Bond (Moneypenny), Colin Salmon (Robinson), Goldie (Bull), David Calder (Sir Robert King), Serena Scott (Dr. Molly Warmflash), Maria Grazia Cucinotta (Cigar Girl), Ulrich Thomsen (Davidov), John Seru (Gabor), Claude-oliver Rudolph (Colonel Akakievich), Patrick Malahide (Lachaise), Omid Djalili (Foreman), Jeff Nuttall (Dr. Arkov), Diran Meghreblian (Coptic Priest), John Albasiny (Helicopter Pilot), Patrick Romer (Pilot), Jimmy Roussounis (Pipeline Technician), Justus Von Dohnanyi (Captain Nikoli), Hassani Shapi (Doctor), Carl Mccrystal (Trukhin), Martyn Lewis (Newscaster), Kouroush Asad (Russian Radio Operator), Daisy Beaumont (Nina), Nina Muschallik (Verushka), Daz Crawford (Casion Thug), Peter Mehtab (Casino Dealer)",,,1999,PG-13,128 min,"Action, Adventure, Suspense",Bond takes position as bodyguard of British oil tycoon's daughter after a deadly mishap at MI6.
9527,s9528,Movie,The Lazarus Effect,David Gelb,"Mark Duplass, Olivia Wilde, Sarah Bolger, Evan Peters, Donald Glover, Ray Wise",,,2015,PG-13,83 min,"Horror, Science Fiction, Suspense",A group of medical researchers discover a way to bring dead patients back to life.
9528,s9529,Movie,THE CHRISTMAS EDITION,HYBRID LLC,,,,2020,ALL,88 min,Drama,"Finding herself at a crossroads, up-and-coming journalist Jackie seizes the opportunity to run as small town newspaper in Alaska and runs a series of Christmas articles to help the struggling business."
9532,s9533,Movie,Quantum Of Solace (4K UHD),Marc Forster,"Daniel Craig, Olga Kurylenko, Mathieu Amalric",,,2008,PG-13,106 min,"Action, Adventure, Drama","On a non-stop quest for justice that crisscrosses the globe, Bond (Daniel Craig) uncovers an intricate conspiracy by the mysterious Quantum organization to take control of one of the world's most important natural resources! Judi Dench also stars."
9533,s9534,Movie,Quantum of Solace,Marc Forster,"Daniel Craig, Olga Kurylenko, Mathieu Amalric, Giancarlo Giannini, Jeffrey Wright, Judi Dench",,,2008,PG-13,106 min,Action,"HD. Seeking vengeance for his lover's death, James Bond uncovers a conspiracy to take control of a country's most precious natural resource."
9537,s9538,TV Show,Pan y Circo,,,,"October 8, 2021",2021,7+,2 Seasons,"Special Interest, Talk Show and Variety, Unscripted","Mexican actor and director Diego Luna returns with Bread and Circus, the winner series of Daytime Emmy for Best show in Spanish. In these specials, Diego Luna sets the table for guests, who will listen to others remotely, to talk about access to healthcare, the crisis of democracies, being an immigrant, and protest as a way to transform."
9545,s9546,Movie,Justin Bieber: Our World,Michael D. Ratner,,,,2021,PG,95 min,"Arts, Entertainment, and Culture, Documentary","Justin Bieber: Our World takes viewers backstage and into the private world of the global superstar as he prepares for his NYE 2020 concert. Bieber delivers an electrifying show on the roof of the Beverly Hilton Hotel for 240 guests - and millions watching via livestream. Produced & directed by Michael D. Ratner, the film also captures personal self-shot moments between Justin & his wife, Hailey."
9546,s9547,TV Show,Hidden Villages,,Penelope Keith,,"October 8, 2021",2016,ALL,2 Seasons,"Documentary, Special Interest","In this series, renowned actress Dame Penelope Keith travels through Britain's charming villages to uncover why these places are so unique and special. Armed with her vintage 'Batsford' travel books, Penelope explores the rich artistic, literary and royal histories of each region, discovers how time has changed village communities, and seeks out local traditions which continue to this day."
