,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
5641,s5642,Movie,Under the Shadow,Babak Anvari,"Narges Rashidi, Avin Manshadi, Bobby Naderi, Ray Haratian, Arash Marandi, Hamidreza Djavdan, Soussan Farrokhnia, Bijan Daneshmand, Sajjad Delafrooz, Behi Djanati Atai","United Kingdom, Jordan, Qatar, Iran","January 7, 2017",2016,PG-13,84 min,"Horror Movies, International Movies, Thrillers","During the Iran-Iraq conflict, a Tehran woman caring for her daughter while her husband is at war is gradually convinced evil spirits are at work."
5674,s5675,TV Show,Merlin,James Hawes,"Colin Morgan, Bradley James, Katie McGrath, Angel Coulby, Richard Wilson, Anthony Head, John Hurt, Nathaniel Parker",United Kingdom,"December 15, 2016",2012,TV-PG,5 Seasons,"British TV Shows, International TV Shows, TV Action & Adventure","This family-oriented retelling of the King Arthur legend finds Merlin arriving in Camelot, where he hones his magic skills with the help of his uncle."
5723,s5724,TV Show,Danger Mouse,,"Alexander Armstrong, Kevin Eldon, Stephen Fry, Ed Gaughan, Shauna Macdonald, Dave Lamb, Morwenna Banks",United Kingdom,"November 9, 2016",2016,TV-Y7,2 Seasons,"British TV Shows, Kids' TV",The world's greatest super-spy returns to save the world with the help of hapless hamster Penfold and a collection of state-of-the-art gadgetry.
5726,s5727,Movie,A Grand Night In: The Story of Aardman,Richard Mears,Julie Walters,United Kingdom,"November 1, 2016",2015,TV-PG,59 min,Documentaries,"Aardman Animations icons Wallace & Gromit, Morph and more join fans and collaborators for a retrospective celebrating the studio's 40th anniversary."
5738,s5739,Movie,Into the Inferno,Werner Herzog,Werner Herzog,"United Kingdom, Germany, Canada","October 28, 2016",2016,TV-PG,107 min,Documentaries,"With stunning views of eruptions and lava flows, Werner Herzog captures the raw power of volcanoes and their ties to indigenous spiritual practices."
5795,s5796,Movie,The White Helmets,Orlando von Einsiedel,,United Kingdom,"September 16, 2016",2016,TV-PG,41 min,Documentaries,"As daily airstrikes pound civilian targets in Syria, a group of indomitable first responders risk their lives to rescue victims from the rubble."
5823,s5824,TV Show,Edge of the Universe,,,United Kingdom,"August 1, 2016",2008,TV-G,1 Season,"British TV Shows, Docuseries, Science & Nature TV","Leading astronomers reveal the latest discoveries about death-trap planets, asteroids, comets and other wonders of the cosmos."
5908,s5909,TV Show,Danger Mouse: Classic Collection,,"David Jason, Terry Scott, Edward Kelsey, Brian Trueman",United Kingdom,"June 15, 2015",1992,TV-Y,10 Seasons,"British TV Shows, Kids' TV, TV Comedies","Follow the adventures of superspy Danger Mouse and his bumbling sidekick, Penfold, as they jet around the world foiling their enemies' evil plots."
5953,s5954,Movie,Joseph: King of Dreams,"Rob LaDuca, Robert C. Ramirez","Ben Affleck, Mark Hamill, Richard Herd, Maureen McGovern, Jodi Benson, Judith Light, James Eckhouse, Richard McGonagle, David Campbell, Steven Weber, Dan Castellaneta, Rene Auberjonois, Ken Hudson Campbell, Tom Virtue, Jeff Bennett","United States, France, United Kingdom","September 27, 2011",2000,TV-PG,75 min,"Children & Family Movies, Dramas, Faith & Spirituality","With his gift of dream interpretation and his brilliantly colored coat, Joseph inspires jealousy in his brothers in this animated Bible story."
5967,s5968,Movie,'89,,"Lee Dixon, Ian Wright, Paul Merson",United Kingdom,"May 16, 2018",2017,TV-PG,87 min,Sports Movies,"Mixing old footage with interviews, this is the story of Arsenal's improbable win versus Liverpool in the final moments of the 1989 championship game."
6030,s6031,Movie,A Bridge Too Far,Richard Attenborough,"Dirk Bogarde, James Caan, Michael Caine, Sean Connery, Edward Fox, Elliott Gould, Gene Hackman, Anthony Hopkins, Hardy Krüger, Laurence Olivier, Ryan O'Neal, Robert Redford, Maximilian Schell, Liv Ullmann","United States, United Kingdom","July 1, 2020",1977,PG,176 min,"Action & Adventure, Classic Movies, Dramas",This wartime drama details a pivotal day in 1944 when an Allied task force tried to win World War II by seizing control of key bridges in Holland.
6081,s6082,Movie,About a Boy,"Chris Weitz, Paul Weitz","Nicholas Hoult, Toni Collette, Victoria Smurfit, Sharon Small, Natalia Tena, Isabel Brook, Hugh Grant, Rachel Weisz, Nicholas Hutchison","United Kingdom, United States, France, Germany","February 1, 2019",2002,PG-13,101 min,"Comedies, Dramas, International Movies","Hip, irresponsible Londoner Will invents an imaginary son and starts attending single-parent meetings to find available women."
6085,s6086,Movie,Across the Universe,Julie Taymor,"Evan Rachel Wood, Jim Sturgess, Joe Anderson, Dana Fuchs, Martin Luther, James Urbaniak, T.V. Carpio, Spencer Liff","United States, United Kingdom","January 1, 2019",2007,PG-13,133 min,"Dramas, Music & Musicals, Romantic Movies","An American girl and a British lad fall in love amid the social and political upheaval of the 1960s, in this musical featuring songs by the Beatles."
6094,s6095,TV Show,Africa,,David Attenborough,United Kingdom,"April 28, 2016",2013,TV-PG,1 Season,"British TV Shows, Docuseries, International TV Shows","This five-part nature series chronicles fascinating stories of survival on the African continent, home to the most diverse animal life on the planet."
6105,s6106,TV Show,Ainsley Eats the Streets,,Ainsley Harriott,United Kingdom,"July 12, 2019",2014,TV-PG,1 Season,"British TV Shows, Docuseries, International TV Shows",Celebrity chef Ainsley Harriott embarks on a journey around the world to explore the relationship between local street foods and cultural identity.
6116,s6117,Movie,All Dogs Go to Heaven,"Don Bluth, Gary Goldman, Dan Kuenster","Dom DeLuise, Burt Reynolds, Daryl Gilley, Candy Devine, Charles Nelson Reilly, Vic Tayback, Melba Moore, Judith Barsi, Rob Fuller, Earleen Carey, Anna Manahan, Nigel Pegram, Loni Anderson, Ken Page, Godfrey Quigley","Ireland, United Kingdom, United States","June 1, 2020",1989,G,85 min,Children & Family Movies,"When a canine con artist becomes an angel, he sneaks back to Earth and crosses paths with an orphan girl who can speak to animals."
6126,s6127,TV Show,Alphablocks,,"Teresa Gallagher, David Holt, Lizzie Waterworth",United Kingdom,"May 25, 2020",2014,TV-Y,5 Seasons,Kids' TV,"The letters of the alphabet come to life in Alphaland as they read, write and spell their way into an exciting world of phonic fun."
